"date","value_brl","var_day_pct","var_month_pct","value_usd","region","indicator","indicator_name","unit","source","extracted_at","_loaded_at"
"2025-09-01 00:00:00",2.3588,,,,RS,leite,Leite - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:59",2026-01-01 21:22:46.940
"2025-09-05 00:00:00",2.7836,-1.13,,0.511,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-09-12 00:00:00",2.8512,2.43,,0.5278,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-09-19 00:00:00",2.7471,-1.23,,0.5174,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-09-19 00:00:00",3.2155,-1.8,,0.6057,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-09-19 00:00:00",2.8264,-0.87,,0.5324,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-09-26 00:00:00",50.0,0.0,7.69,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-09-26 00:00:00",2.7416,-0.2,,0.5142,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-09-26 00:00:00",3.1184,-3.02,,0.5849,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-09-26 00:00:00",2.7552,-2.52,,0.5168,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-09-29 00:00:00",49.67,-0.66,6.98,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-09-30 00:00:00",49.67,0.0,6.98,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-01 00:00:00",49.67,0.0,0.0,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-01 00:00:00",2.217,,,,RS,leite,Leite - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:59",2026-01-01 21:22:46.940
"2025-10-01 00:00:00",26.4,1.54,,,BA,ovinos,Ovinos - Tabela 1,R$/kg,CEPEA/ESALQ,"2025-12-31 17:16:01",2026-01-01 21:22:46.940
"2025-10-02 00:00:00",49.67,0.0,0.0,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-03 00:00:00",49.67,0.0,0.0,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-03 00:00:00",2.7264,-0.55,,0.5118,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-03 00:00:00",3.1238,0.17,,0.5865,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-03 00:00:00",2.7867,1.14,,0.5232,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-06 00:00:00",50.25,1.17,1.17,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-07 00:00:00",50.25,0.0,1.17,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-08 00:00:00",50.25,0.0,1.17,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-09 00:00:00",50.25,0.0,1.17,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-10 00:00:00",50.25,0.0,1.17,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-10 00:00:00",2.7156,-0.4,,0.5051,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-10 00:00:00",3.1126,-0.36,,0.579,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-10 00:00:00",2.8447,2.08,,0.5292,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-13 00:00:00",0.0,-100.0,-100.0,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-14 00:00:00",0.0,0.0,-100.0,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-15 00:00:00",0.0,0.0,-100.0,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-16 00:00:00",0.0,0.0,-100.0,,,citros,Citros - Tabela 3,"R$/cx 40,8kg",CEPEA/ESALQ,"2025-12-31 17:15:49",2026-01-01 21:22:46.940
"2025-10-17 00:00:00",2.7365,0.77,,0.5024,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-17 00:00:00",3.1079,-0.15,,0.5706,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-17 00:00:00",2.7706,-2.6,,0.5087,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-24 00:00:00",2.7527,0.59,,0.5109,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-24 00:00:00",3.1411,1.07,,0.583,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-24 00:00:00",2.8726,3.68,,0.5331,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-31 00:00:00",2.7781,0.92,,0.5172,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-31 00:00:00",3.1801,1.24,,0.592,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-10-31 00:00:00",2.809,-2.21,,0.523,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-01 00:00:00",2.0653,,,,RS,leite,Leite - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:59",2026-01-01 21:22:46.940
"2025-11-01 00:00:00",27.25,3.22,,,BA,ovinos,Ovinos - Tabela 1,R$/kg,CEPEA/ESALQ,"2025-12-31 17:16:01",2026-01-01 21:22:46.940
"2025-11-07 00:00:00",2.7997,0.78,,0.5224,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-07 00:00:00",3.2094,0.92,,0.5988,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-07 00:00:00",2.8261,0.61,,0.5273,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-14 00:00:00",2.8236,0.85,,0.5334,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-14 00:00:00",3.2097,0.01,,0.6064,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-14 00:00:00",2.8404,0.51,,0.5366,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-21 00:00:00",2.8554,1.13,,0.5342,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-21 00:00:00",3.2434,1.05,,0.6068,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-28 00:00:00",2.8653,0.35,,0.5347,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-28 00:00:00",3.3004,1.76,,0.6159,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-28 00:00:00",2.8016,-1.37,,0.5228,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-12-05 00:00:00",2.8853,0.7,,0.5389,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-12-05 00:00:00",3.3128,0.38,,0.6188,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
