"date","product","price","unit","ceasa_name","municipality","state","ibge_code","source","data_type","extracted_at","_loaded_at"
2022-06-01 00:00:00.000,ABACATE,4.0,KG,CEASA/PR - CURITIBA,CURITIBA-PR,PR,"4106902",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,ABACAXI,2.65,UN,AMA/BA - JUAZEIRO,JUAZEIRO-BA,BA,"2918407",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,ABACAXI,3.25,UN,CEAGESP - SAO JOSE RIO PRETO,SÃO JOSÉ DO RIO PRETO-SP,SP,"3549805",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,ABACAXI,5.68,UN,CEAGESP - SOROCABA,SOROCABA-SP,SP,"3552205",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,ABACAXI,3.0,UN,CEASA/BA - SALVADOR,SALVADOR-BA,BA,"2927408",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,ABACAXI,3.5,UN,CEASA/PA - BELEM,BELÉM-PA,PA,"1501402",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,ABOBORA,3.38,KG,CEAGESP - ARARAQUARA,ARARAQUARA-SP,SP,"3503208",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,ABOBRINHA,4.08,KG,CEAGESP - ARACATUBA,ARAÇATUBA-SP,SP,"3502804",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,ABOBRINHA,2.6,KG,CEASA/BA - SALVADOR,SALVADOR-BA,BA,"2927408",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,BATATA DOCE,2.25,KG,CEASA/PB - JOAO PESSOA,JOÃO PESSOA-PB,PB,"2507507",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,CARA,4.75,KG,CEAGESP - RIBEIRAO PRETO,RIBEIRÃO PRETO-SP,SP,"3543402",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,CARA,2.63,KG,CEASA/ES - VITORIA,VITÓRIA-ES,ES,"3205309",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,CEBOLA,3.75,KG,CEASAMINAS - BELO HORIZONTE,BELO HORIZONTE-MG,MG,"3106200",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,CENOURA,2.0,KG,CEASA/DF - BRASILIA,BRASÍLIA-DF,DF,"5300108",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,CENOURA,3.18,KG,CEASA/MT - CUIABA,CUIABÁ-MT,MT,"5103403",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,CHUCHU,2.25,KG,CEAGESP - S J DOS CAMPOS,SÃO JOSÉ DOS CAMPOS-SP,SP,"3549904",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,CHUCHU,2.61,KG,CEAGESP - SAO JOSE RIO PRETO,SÃO JOSÉ DO RIO PRETO-SP,SP,"3549805",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,CHUCHU,2.36,KG,CEASA/MT - CUIABA,CUIABÁ-MT,MT,"5103403",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
2022-06-01 00:00:00.000,GOIABA,6.25,KG,CEAGESP - SAO JOSE RIO PRETO,SÃO JOSÉ DO RIO PRETO-SP,SP,"3549805",CONAB/Prohort,diario,2026-01-01 17:34:57.102,2026-01-01 21:22:58.366
