"date","value","series_code","source","extracted_at","series_name","series_description","unit","_loaded_at"
"2020-01-01 03:00:00",337.079705,IFS12_SOJAGP12,IPEA,"2025-12-31 17:16:04",soja_internacional,Soja em grão - cotação internacional,US$/ton,2026-01-01 21:22:55.024
"2020-01-02 03:00:00",4.0207,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-03 03:00:00",4.0516,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-06 03:00:00",4.0548,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-07 03:00:00",4.0835,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-08 03:00:00",4.0666,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-09 03:00:00",4.0738,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-10 03:00:00",4.0739,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-13 03:00:00",4.1303,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-14 03:00:00",4.1437,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-15 03:00:00",4.1616,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-16 03:00:00",4.172,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-17 03:00:00",4.1831,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-20 03:00:00",4.1823,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-21 03:00:00",4.2008,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-22 03:00:00",4.1883,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-23 03:00:00",4.1656,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-24 03:00:00",4.1763,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-27 03:00:00",4.219,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-01-28 03:00:00",4.2058,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
